iter	MultiClass
0	2.231370774
1	2.163808294
2	2.09950015
3	2.039924961
4	1.971433349
5	1.92650593
6	1.880008156
7	1.842436725
8	1.800540596
9	1.765210342
10	1.732645493
11	1.690096405
12	1.653527305
13	1.615404323
14	1.583262446
15	1.55053426
16	1.521105286
17	1.488606268
18	1.45813721
19	1.42853891
20	1.404036133
21	1.37939803
22	1.359658872
23	1.336896363
24	1.324117876
25	1.301103977
26	1.283050731
27	1.262203657
28	1.243422846
29	1.228305905
30	1.208347983
31	1.189984275
32	1.17313467
33	1.156995462
34	1.13996654
35	1.122798184
36	1.108050528
37	1.091645195
38	1.078151028
39	1.063009107
40	1.043067442
41	1.030643139
42	1.017649388
43	1.004268221
44	0.9908788884
45	0.9792305421
46	0.9635666594
47	0.9520485404
48	0.9393847366
49	0.9266886906
50	0.9154937796
51	0.9061961439
52	0.8930047462
53	0.8816895527
54	0.8729563318
55	0.8648278956
56	0.8538491645
57	0.8459275948
58	0.8362035799
59	0.8280583746
60	0.8192851255
61	0.8113160493
62	0.8019398508
63	0.7960086435
64	0.7891751404
65	0.7816559693
66	0.7758224852
67	0.7675658281
68	0.7588518877
69	0.7496826911
70	0.7420515966
71	0.7351099887
72	0.7265084509
73	0.7203736952
74	0.7122795217
75	0.7050310695
76	0.6981385643
77	0.6924940832
78	0.6850459347
79	0.6794453977
80	0.6748945207
81	0.6678386298
82	0.6605580267
83	0.6542746473
84	0.6463252491
85	0.6395943494
86	0.6337605534
87	0.625831463
88	0.6181605255
89	0.6121536635
90	0.6060059032
91	0.6025755406
92	0.5965800615
93	0.5940669695
94	0.5890190346
95	0.583633402
96	0.5793601987
97	0.574897334
98	0.5689414249
99	0.5653507432
100	0.5604883135
101	0.5543166292
102	0.5478204349
103	0.5428419822
104	0.5363347742
105	0.5311422947
106	0.5251138477
107	0.5204841353
108	0.5159639104
109	0.5106873885
110	0.505994186
111	0.5023561161
112	0.4975329172
113	0.4940021521
114	0.4888685537
115	0.4846796942
116	0.4802731375
117	0.4755112981
118	0.4716624218
119	0.4683251408
120	0.4639859491
121	0.4597273572
122	0.4558000447
123	0.4514623911
124	0.4481865444
125	0.4458500999
126	0.4415770964
127	0.4379934782
128	0.4351386109
129	0.4326066422
130	0.4289026004
131	0.4250288443
132	0.4215575401
133	0.4188509511
134	0.4164103208
135	0.4134372114
136	0.4101188274
137	0.4069318408
138	0.4046166444
139	0.4012815916
140	0.3985593296
141	0.3953038766
142	0.3918993023
143	0.3894829787
144	0.3879462436
145	0.3846451448
146	0.3817250275
147	0.3794810406
148	0.3769244007
149	0.3737756151
150	0.3704762654
151	0.3679958542
152	0.364932328
153	0.3629336295
154	0.3607232922
155	0.3585578205
156	0.3574078048
157	0.3554418661
158	0.3529889562
159	0.3501182528
160	0.3476798243
161	0.34551908
162	0.3433238754
163	0.3411465497
164	0.3383584048
165	0.3361449502
166	0.333160753
167	0.330562818
168	0.3287735722
169	0.3273596393
170	0.3252182318
171	0.3232472939
172	0.3211367075
173	0.3186861563
174	0.3171889214
175	0.3151547066
176	0.313778617
177	0.3107012235
178	0.3100566577
179	0.3075152048
180	0.3059591633
181	0.3036648744
182	0.3023520905
183	0.3008400757
184	0.2994915842
185	0.2976993164
186	0.296587806
187	0.2947843511
188	0.2926761607
189	0.2910999681
190	0.2898545869
191	0.2892483545
192	0.2873241078
193	0.2858586716
194	0.284021204
195	0.2831112896
196	0.2819974846
197	0.2812697512
198	0.2787632725
199	0.2777614363
200	0.2763704196
201	0.2751960454
202	0.2734604056
203	0.2718914852
204	0.2710041149
205	0.269645758
206	0.2677941472
207	0.2671511404
208	0.2653514645
209	0.2643104192
210	0.2633694129
211	0.2619067704
212	0.2600424998
213	0.2587376953
214	0.2570983023
215	0.2560222864
216	0.2546175989
217	0.2540897811
218	0.2527939065
219	0.2519772437
220	0.2516777013
221	0.2508306363
222	0.2494522791
223	0.248536452
224	0.2473063071
225	0.2460284771
226	0.2452725473
227	0.244197267
228	0.243051589
229	0.2420258435
230	0.2405263989
231	0.2396920987
232	0.2383037466
233	0.2372773269
234	0.235770647
235	0.2344356658
236	0.2338613177
237	0.2327045921
238	0.231800574
239	0.2307454892
240	0.2299788767
241	0.2286668855
242	0.2274557795
243	0.2271623452
244	0.2261341182
245	0.2246648276
246	0.2237108869
247	0.2229021093
248	0.2221970597
249	0.2210661412
250	0.2204549416
251	0.2192161044
252	0.2189010136
253	0.2181415429
254	0.2170266545
255	0.2163479452
256	0.2160295812
257	0.2149226113
258	0.21443053
259	0.2133719447
260	0.2125416044
261	0.2116204469
262	0.2110187134
263	0.2105739408
264	0.2094076455
265	0.2084589516
266	0.207636306
267	0.2064828512
268	0.2056147457
269	0.20502426
270	0.2040961148
271	0.2034080226
272	0.2027001114
273	0.2018985021
274	0.2011027015
275	0.2001819407
276	0.1993115327
277	0.1984887792
278	0.1976261624
279	0.1966431675
280	0.1954744682
281	0.1950024622
282	0.19388049
283	0.1928811833
284	0.1921876963
285	0.1919006647
286	0.1907848657
287	0.1900378899
288	0.1894603753
289	0.1885000854
290	0.1876006155
291	0.1867337777
292	0.1861978389
293	0.1853076698
294	0.1846247899
295	0.1837384701
296	0.1833466413
297	0.1828171506
298	0.1821626903
299	0.1813500168
300	0.1805096678
301	0.1798343117
302	0.1790642535
303	0.1781650211
304	0.1775543778
305	0.1768698235
306	0.1764054061
307	0.1757730692
308	0.1752169734
309	0.1743597262
310	0.1733634109
311	0.1729912959
312	0.172273067
313	0.1717246515
314	0.1711005795
315	0.1707545892
316	0.1701686468
317	0.1696899627
318	0.1689619247
319	0.1682426936
320	0.1675931998
321	0.1670529745
322	0.1664371538
323	0.1659590462
324	0.1655962652
325	0.165058594
326	0.1644332609
327	0.1638470506
328	0.1632906741
329	0.1626234055
330	0.1622363112
331	0.1616455402
332	0.1611410288
333	0.1604088321
334	0.1597955108
335	0.1593037418
336	0.1584460301
337	0.1579325594
